Year,Year_Rank,Song,Artist,Genre,Peak,danceability,energy,valence,tempo,duration_min,loudness,acousticness
1958,1,Chantilly Lace,Big Bopper,R&B/Soul,6,0.489,0.806,0.944,172.3,2.42,-6.1,0.841
1958,2,It's All In The Game,Tommy Edwards,Pop,1,0.429,0.208,0.485,107.6,3.21,-16.1,0.891
1958,3,Rock-in Robin,Bobby Day,R&B/Soul,2,0.541,0.608,0.938,172,2.67,-13.1,0.298
1958,4,Bird Dog,The Everly Brothers,Rock,2,0.658,0.706,0.965,141.2,2.27,-9.1,0.686
1958,5,Topsy II,Cozy Cole,Pop,3,0.459,0.772,0.573,93.2,3.6,-10.6,0.736
1958,6,Little Star,The Elegants,R&B/Soul,1,0.408,0.397,0.697,72.6,2.71,-12.5,0.873
1958,7,The Day The Rains Came,Jane Morgan,Pop,21,0.457,0.331,0.536,108.6,3,-12.4,0.722
1958,8,It's Only Make Believe,Conway Twitty,Country,1,0.461,0.466,0.251,128.5,2.2,-9.6,0.86
1958,9,Tears On My Pillow,Little Anthony And The Imperials,R&B/Soul,4,0.432,0.202,0.641,100.1,2.34,-14.5,0.908
1958,11,Susie Darlin',Robin Luke,Rock,5,0.83,0.325,0.816,123.1,2.57,-13.7,0.514
1958,13,The End,Earl Grant,Pop,7,0.454,0.264,0.315,89.7,2.35,-11.9,0.62
1958,14,Tom Dooley,The Kingston Trio,Rock,1,0.648,0.144,0.497,126,3.07,-13.8,0.827
1958,15,Just A Dream,Jimmy Clanton And His Rockets,Hip-Hop/Rap,4,0.526,0.781,0.358,142.1,4.75,-3.7,0.061
1958,16,You Cheated,The Shields,Pop,15,0.508,0.173,0.435,66.5,2.45,-10.3,0.974
1958,17,"To Know Him, Is To Love Him",The Teddy Bears,Pop,1,0.288,0.33,0.39,174.3,2.43,-10.2,0.892
1958,18,Summertime Blues,Eddie Cochran,Rock,8,0.456,0.514,0.657,138.4,3.78,-9.7,0.462
1958,19,Near You,Roger Williams,Pop,10,0.588,0.504,0.359,121.4,4.97,-10.7,0.697
1958,20,Born Too Late,Poni-Tails,Pop,7,0.501,0.516,0.87,85,2.29,-3.7,0.511
1958,21,My True Love,Jack Scott,Rock,3,0.548,0.253,0.238,68.2,2.75,-11.4,0.871
1958,22,Patricia,Perez Prado And His Orchestra,Pop,2,0.699,0.715,0.81,137.4,2.33,-6,0.18
1958,23,Devoted To You,The Everly Brothers,Rock,10,0.539,0.278,0.322,93.5,2.5,-11.1,0.515
1958,24,I Got A Feeling,Ricky Nelson,Rock,10,0.661,0.682,0.967,86.4,2.09,-8.3,0.399
